text,label
Your Amazon order #474 has shipped.,SAFE
This is the IRS. Immediate payment required today at 888-404-5000.,SCAM
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Dinner at Sakura tonight?,SAFE
Meeting moved to Tuesday 1:00 PM.,SAFE
Meeting moved to Thursday 3:15 PM.,SAFE
Your Amazon order #140 has shipped.,SAFE
Your Amazon order #902 has shipped.,SAFE
Library book due on Monday.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Dinner at The Diner tonight?,SAFE
Meeting moved to Wednesday 1:00 PM.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
URGENT: Your bank account has been locked. Verify now: https://tinyurl.com/verify-now,SCAM
FedEx: delivery failed. Reschedule: http://bit.ly/secure-login,SCAM
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Reminder: dentist appointment on Thursday at 3:15 PM.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Meeting moved to Monday 11:30 AM.,SAFE
Reminder: dentist appointment on Wednesday at 1:00 PM.,SAFE
Netflix membership expired. Reactivate now: http://bit.ly/secure-login,SCAM
Mom: Call me when you land.,SAFE
Your Amazon order #544 has shipped.,SAFE
Invoice paid. Receipt attached.,SAFE
Library book due on Friday.,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Wednesday at 9:00 AM.,SAFE
Your warranty is expiring. Contact 888-404-5000 to extend coverage.,SCAM
Package delivered to your front door.,SAFE
Library book due on Thursday.,SAFE
Thanks for your help today!,SAFE
Meeting moved to Tuesday 11:30 AM.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Meeting moved to Wednesday 9:00 AM.,SAFE
Your Amazon order #481 has shipped.,SAFE
Reminder: dentist appointment on Monday at 3:15 PM.,SAFE
Final notice: unpaid tax balance. Pay fee: http://bit.ly/secure-login,SCAM
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Your warranty is expiring. Contact 877-333-9090 to extend coverage.,SCAM
Package delivered to your front door.,SAFE
Library book due on Thursday.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Invoice paid. Receipt attached.,SAFE
Thanks for your help today!,SAFE
Your Amazon order #488 has shipped.,SAFE
Library book due on Monday.,SAFE
Invoice paid. Receipt attached.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
URGENT: Your bank account has been locked. Verify now: http://short.co/pay-fee,SCAM
Library book due on Wednesday.,SAFE
Mom: Call me when you land.,SAFE
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Reminder: dentist appointment on Friday at 3:15 PM.,SAFE
URGENT: Your bank account has been locked. Verify now: http://short.co/pay-fee,SCAM
Library book due on Monday.,SAFE
Your Amazon order #606 has shipped.,SAFE
Your Amazon order #949 has shipped.,SAFE
Your Amazon order #108 has shipped.,SAFE
URGENT: Your bank account has been locked. Verify now: http://bit.ly/secure-login,SCAM
Congratulations! You won a new iPhone. Claim here: http://short.co/pay-fee,SCAM
FedEx: delivery failed. Reschedule: http://bit.ly/secure-login,SCAM
Library book due on Monday.,SAFE
Mom: Call me when you land.,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #224 has shipped.,SAFE
Meeting moved to Monday 3:15 PM.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Dinner at Sakura tonight?,SAFE
Meeting moved to Friday 9:00 AM.,SAFE
Meeting moved to Friday 9:00 AM.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Meeting moved to Wednesday 11:30 AM.,SAFE
Package delivered to your front door.,SAFE
Package delivered to your front door.,SAFE
Library book due on Tuesday.,SAFE
Dinner at Sakura tonight?,SAFE
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Mom: Call me when you land.,SAFE
Your warranty is expiring. Contact 800-555-1212 to extend coverage.,SCAM
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Your warranty is expiring. Contact 888-404-5000 to extend coverage.,SCAM
Your warranty is expiring. Contact 877-333-9090 to extend coverage.,SCAM
Student loan forgiveness approved. Call 877-333-9090 to process.,SCAM
Library book due on Wednesday.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Dinner at The Diner tonight?,SAFE
Congratulations! You won a new iPhone. Claim here: https://tinyurl.com/verify-now,SCAM
Invoice paid. Receipt attached.,SAFE
Your Amazon order #112 has shipped.,SAFE
Netflix membership expired. Reactivate now: https://tinyurl.com/verify-now,SCAM
Invoice paid. Receipt attached.,SAFE
Reminder: dentist appointment on Monday at 1:00 PM.,SAFE
Your Amazon order #726 has shipped.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Your Amazon order #630 has shipped.,SAFE
URGENT: Your bank account has been locked. Verify now: http://bit.ly/secure-login,SCAM
Invoice paid. Receipt attached.,SAFE
Meeting moved to Tuesday 3:15 PM.,SAFE
Your Amazon order #304 has shipped.,SAFE
Meeting moved to Monday 3:15 PM.,SAFE
Netflix membership expired. Reactivate now: http://short.co/pay-fee,SCAM
Library book due on Wednesday.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Library book due on Friday.,SAFE
URGENT: Call us immediately at 800-555-1212 to avoid account suspension.,SCAM
Mom: Call me when you land.,SAFE
Meeting moved to Thursday 11:30 AM.,SAFE
FedEx: delivery failed. Reschedule: http://short.co/pay-fee,SCAM
Meeting moved to Thursday 11:30 AM.,SAFE
Library book due on Thursday.,SAFE
Library book due on Monday.,SAFE
Meeting moved to Tuesday 3:15 PM.,SAFE
Congratulations! You won a new iPhone. Claim here: http://bit.ly/secure-login,SCAM
Meeting moved to Monday 9:00 AM.,SAFE
Meeting moved to Friday 11:30 AM.,SAFE
Package delivered to your front door.,SAFE
Your Amazon order #857 has shipped.,SAFE
Thanks for your help today!,SAFE
Your Amazon order #141 has shipped.,SAFE
Reminder: dentist appointment on Wednesday at 11:30 AM.,SAFE
Mom: Call me when you land.,SAFE
Invoice paid. Receipt attached.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
URGENT: Call us immediately at 888-404-5000 to avoid account suspension.,SCAM
Dinner at Sakura tonight?,SAFE
Your Amazon order #299 has shipped.,SAFE
Final notice: unpaid tax balance. Pay fee: http://bit.ly/secure-login,SCAM
Library book due on Monday.,SAFE
URGENT: Your bank account has been locked. Verify now: http://bit.ly/secure-login,SCAM
Your Amazon order #746 has shipped.,SAFE
Meeting moved to Thursday 1:00 PM.,SAFE
Reminder: dentist appointment on Tuesday at 9:00 AM.,SAFE
Your Amazon order #998 has shipped.,SAFE
Dinner at The Diner tonight?,SAFE
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Netflix membership expired. Reactivate now: https://tinyurl.com/verify-now,SCAM
Dinner at Cafe Luna tonight?,SAFE
Dinner at Cafe Luna tonight?,SAFE
Library book due on Tuesday.,SAFE
Thanks for your help today!,SAFE
Your warranty is expiring. Contact 888-404-5000 to extend coverage.,SCAM
URGENT: Your bank account has been locked. Verify now: http://bit.ly/secure-login,SCAM
Reminder: dentist appointment on Thursday at 9:00 AM.,SAFE
Invoice paid. Receipt attached.,SAFE
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
URGENT: Your bank account has been locked. Verify now: https://tinyurl.com/verify-now,SCAM
Mom: Call me when you land.,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Dinner at The Diner tonight?,SAFE
Congratulations! You won a new iPhone. Claim here: http://bit.ly/secure-login,SCAM
Library book due on Tuesday.,SAFE
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Final notice: unpaid tax balance. Pay fee: http://short.co/pay-fee,SCAM
Your Amazon order #480 has shipped.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Meeting moved to Tuesday 3:15 PM.,SAFE
Meeting moved to Monday 3:15 PM.,SAFE
Reminder: dentist appointment on Wednesday at 11:30 AM.,SAFE
Invoice paid. Receipt attached.,SAFE
Mom: Call me when you land.,SAFE
Library book due on Monday.,SAFE
Your Amazon order #363 has shipped.,SAFE
Mom: Call me when you land.,SAFE
Meeting moved to Thursday 1:00 PM.,SAFE
Reminder: dentist appointment on Tuesday at 9:00 AM.,SAFE
Mom: Call me when you land.,SAFE
Student loan forgiveness approved. Call 877-333-9090 to process.,SCAM
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #178 has shipped.,SAFE
Package delivered to your front door.,SAFE
Your warranty is expiring. Contact 888-404-5000 to extend coverage.,SCAM
Your Amazon order #345 has shipped.,SAFE
Thanks for your help today!,SAFE
URGENT: Your bank account has been locked. Verify now: https://tinyurl.com/verify-now,SCAM
Congratulations! You won a new iPhone. Claim here: https://tinyurl.com/verify-now,SCAM
Package delivered to your front door.,SAFE
Meeting moved to Wednesday 9:00 AM.,SAFE
Package delivered to your front door.,SAFE
URGENT: Your bank account has been locked. Verify now: http://short.co/pay-fee,SCAM
Final notice: unpaid tax balance. Pay fee: http://bit.ly/secure-login,SCAM
Package delivered to your front door.,SAFE
Dinner at The Diner tonight?,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Tuesday at 11:30 AM.,SAFE
Meeting moved to Thursday 11:30 AM.,SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Dinner at Cafe Luna tonight?,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
This is the IRS. Immediate payment required today at 888-404-5000.,SCAM
Your Amazon order #836 has shipped.,SAFE
Your Amazon order #851 has shipped.,SAFE
Package delivered to your front door.,SAFE
Package delivered to your front door.,SAFE
Mom: Call me when you land.,SAFE
Congratulations! You won a new iPhone. Claim here: http://short.co/pay-fee,SCAM
Your warranty is expiring. Contact 888-404-5000 to extend coverage.,SCAM
Your SSN is flagged. Call 888-404-5000 now to verify your identity.,SCAM
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
URGENT: Call us immediately at 888-404-5000 to avoid account suspension.,SCAM
Thanks for your help today!,SAFE
Reminder: dentist appointment on Thursday at 1:00 PM.,SAFE
Your Amazon order #953 has shipped.,SAFE
Your Amazon order #621 has shipped.,SAFE
Dinner at Sakura tonight?,SAFE
Mom: Call me when you land.,SAFE
Meeting moved to Wednesday 1:00 PM.,SAFE
Invoice paid. Receipt attached.,SAFE
Meeting moved to Friday 11:30 AM.,SAFE
Library book due on Thursday.,SAFE
Dinner at Sakura tonight?,SAFE
Dinner at Sakura tonight?,SAFE
Library book due on Wednesday.,SAFE
Library book due on Friday.,SAFE
URGENT: Call us immediately at 800-555-1212 to avoid account suspension.,SCAM
Your warranty is expiring. Contact 877-333-9090 to extend coverage.,SCAM
Meeting moved to Tuesday 1:00 PM.,SAFE
Thanks for your help today!,SAFE
Invoice paid. Receipt attached.,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Thursday at 11:30 AM.,SAFE
Invoice paid. Receipt attached.,SAFE
Student loan forgiveness approved. Call 888-404-5000 to process.,SCAM
Netflix membership expired. Reactivate now: http://short.co/pay-fee,SCAM
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Meeting moved to Monday 11:30 AM.,SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Netflix membership expired. Reactivate now: http://bit.ly/secure-login,SCAM
Meeting moved to Friday 3:15 PM.,SAFE
Netflix membership expired. Reactivate now: https://tinyurl.com/verify-now,SCAM
Dinner at Cafe Luna tonight?,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Mom: Call me when you land.,SAFE
Dinner at Sakura tonight?,SAFE
Meeting moved to Tuesday 1:00 PM.,SAFE
Thanks for your help today!,SAFE
URGENT: Call us immediately at 877-333-9090 to avoid account suspension.,SCAM
Package delivered to your front door.,SAFE
Thanks for your help today!,SAFE
Reminder: dentist appointment on Tuesday at 1:00 PM.,SAFE
Mom: Call me when you land.,SAFE
Dinner at Sakura tonight?,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Reminder: dentist appointment on Monday at 9:00 AM.,SAFE
Meeting moved to Wednesday 3:15 PM.,SAFE
Mom: Call me when you land.,SAFE
Package delivered to your front door.,SAFE
Dinner at The Diner tonight?,SAFE
Invoice paid. Receipt attached.,SAFE
FedEx: delivery failed. Reschedule: http://bit.ly/secure-login,SCAM
Thanks for your help today!,SAFE
Library book due on Thursday.,SAFE
Final notice: unpaid tax balance. Pay fee: http://short.co/pay-fee,SCAM
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Dinner at Cafe Luna tonight?,SAFE
Package delivered to your front door.,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Reminder: dentist appointment on Thursday at 11:30 AM.,SAFE
Reminder: dentist appointment on Friday at 1:00 PM.,SAFE
FedEx: delivery failed. Reschedule: http://short.co/pay-fee,SCAM
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Package delivered to your front door.,SAFE
Dinner at The Diner tonight?,SAFE
URGENT: Your bank account has been locked. Verify now: https://tinyurl.com/verify-now,SCAM
Your Amazon order #760 has shipped.,SAFE
Package delivered to your front door.,SAFE
Library book due on Monday.,SAFE
Invoice paid. Receipt attached.,SAFE
Dinner at The Diner tonight?,SAFE
Thanks for your help today!,SAFE
Library book due on Tuesday.,SAFE
FedEx: delivery failed. Reschedule: http://short.co/pay-fee,SCAM
Thanks for your help today!,SAFE
Your Amazon order #446 has shipped.,SAFE
Reminder: dentist appointment on Friday at 9:00 AM.,SAFE
Thanks for your help today!,SAFE
Your Amazon order #890 has shipped.,SAFE
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Mom: Call me when you land.,SAFE
FedEx: delivery failed. Reschedule: http://bit.ly/secure-login,SCAM
Your Amazon order #420 has shipped.,SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
This is the IRS. Immediate payment required today at 877-333-9090.,SCAM
Meeting moved to Tuesday 3:15 PM.,SAFE
URGENT: Your bank account has been locked. Verify now: http://short.co/pay-fee,SCAM
Mom: Call me when you land.,SAFE
Your Amazon order #284 has shipped.,SAFE
Invoice paid. Receipt attached.,SAFE
Congratulations! You won a new iPhone. Claim here: http://short.co/pay-fee,SCAM
Meeting moved to Monday 9:00 AM.,SAFE
Reminder: dentist appointment on Thursday at 1:00 PM.,SAFE
Thanks for your help today!,SAFE
Meeting moved to Wednesday 9:00 AM.,SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #113 has shipped.,SAFE
Package delivered to your front door.,SAFE
Meeting moved to Monday 1:00 PM.,SAFE
Package delivered to your front door.,SAFE
Dinner at Sakura tonight?,SAFE
This is the IRS. Immediate payment required today at 877-333-9090.,SCAM
Reminder: dentist appointment on Friday at 1:00 PM.,SAFE
Reminder: dentist appointment on Thursday at 11:30 AM.,SAFE
Netflix membership expired. Reactivate now: http://bit.ly/secure-login,SCAM
Your Amazon order #480 has shipped.,SAFE
Your warranty is expiring. Contact 888-404-5000 to extend coverage.,SCAM
Student loan forgiveness approved. Call 800-555-1212 to process.,SCAM
Package delivered to your front door.,SAFE
Netflix membership expired. Reactivate now: http://bit.ly/secure-login,SCAM
Dinner at Cafe Luna tonight?,SAFE
Dinner at Cafe Luna tonight?,SAFE
URGENT: Your bank account has been locked. Verify now: https://tinyurl.com/verify-now,SCAM
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Final notice: unpaid tax balance. Pay fee: http://short.co/pay-fee,SCAM
Reminder: dentist appointment on Tuesday at 1:00 PM.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Meeting moved to Monday 3:15 PM.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Dinner at The Diner tonight?,SAFE
Dinner at Cafe Luna tonight?,SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #216 has shipped.,SAFE
FedEx: delivery failed. Reschedule: https://tinyurl.com/verify-now,SCAM
Your Amazon order #951 has shipped.,SAFE
FedEx: delivery failed. Reschedule: https://tinyurl.com/verify-now,SCAM
Meeting moved to Tuesday 3:15 PM.,SAFE
Meeting moved to Wednesday 9:00 AM.,SAFE
Library book due on Monday.,SAFE
Meeting moved to Monday 1:00 PM.,SAFE
Thanks for your help today!,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Reminder: dentist appointment on Wednesday at 1:00 PM.,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Thanks for your help today!,SAFE
URGENT: Call us immediately at 800-555-1212 to avoid account suspension.,SCAM
Reminder: dentist appointment on Friday at 11:30 AM.,SAFE
Reminder: dentist appointment on Monday at 1:00 PM.,SAFE
Dinner at The Diner tonight?,SAFE
Your SSN is flagged. Call 888-404-5000 now to verify your identity.,SCAM
Reminder: dentist appointment on Tuesday at 3:15 PM.,SAFE
Your warranty is expiring. Contact 888-404-5000 to extend coverage.,SCAM
Mom: Call me when you land.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
URGENT: Your bank account has been locked. Verify now: http://bit.ly/secure-login,SCAM
Mom: Call me when you land.,SAFE
URGENT: Call us immediately at 888-404-5000 to avoid account suspension.,SCAM
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Student loan forgiveness approved. Call 888-404-5000 to process.,SCAM
Netflix membership expired. Reactivate now: https://tinyurl.com/verify-now,SCAM
Package delivered to your front door.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Thanks for your help today!,SAFE
Invoice paid. Receipt attached.,SAFE
Invoice paid. Receipt attached.,SAFE
Meeting moved to Wednesday 1:00 PM.,SAFE
Library book due on Wednesday.,SAFE
Library book due on Friday.,SAFE
Netflix membership expired. Reactivate now: http://short.co/pay-fee,SCAM
Mom: Call me when you land.,SAFE
Invoice paid. Receipt attached.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
URGENT: Your bank account has been locked. Verify now: http://bit.ly/secure-login,SCAM
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Thanks for your help today!,SAFE
Library book due on Wednesday.,SAFE
Invoice paid. Receipt attached.,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #687 has shipped.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Your Amazon order #831 has shipped.,SAFE
Thanks for your help today!,SAFE
Thanks for your help today!,SAFE
Final notice: unpaid tax balance. Pay fee: http://bit.ly/secure-login,SCAM
URGENT: Your bank account has been locked. Verify now: http://short.co/pay-fee,SCAM
Reminder: dentist appointment on Thursday at 11:30 AM.,SAFE
FedEx: delivery failed. Reschedule: https://tinyurl.com/verify-now,SCAM
URGENT: Your bank account has been locked. Verify now: https://tinyurl.com/verify-now,SCAM
Dinner at The Diner tonight?,SAFE
Meeting moved to Wednesday 3:15 PM.,SAFE
Meeting moved to Wednesday 1:00 PM.,SAFE
Thanks for your help today!,SAFE
Library book due on Monday.,SAFE
Your Amazon order #308 has shipped.,SAFE
Final notice: unpaid tax balance. Pay fee: http://short.co/pay-fee,SCAM
Dinner at Cafe Luna tonight?,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Meeting moved to Friday 1:00 PM.,SAFE
Invoice paid. Receipt attached.,SAFE
Your SSN is flagged. Call 877-333-9090 now to verify your identity.,SCAM
Mom: Call me when you land.,SAFE
Mom: Call me when you land.,SAFE
Meeting moved to Thursday 11:30 AM.,SAFE
Invoice paid. Receipt attached.,SAFE
This is the IRS. Immediate payment required today at 888-404-5000.,SCAM
Thanks for your help today!,SAFE
Dinner at Sakura tonight?,SAFE
FedEx: delivery failed. Reschedule: http://bit.ly/secure-login,SCAM
URGENT: Call us immediately at 877-333-9090 to avoid account suspension.,SCAM
Invoice paid. Receipt attached.,SAFE
FedEx: delivery failed. Reschedule: http://bit.ly/secure-login,SCAM
Invoice paid. Receipt attached.,SAFE
Package delivered to your front door.,SAFE
Your Amazon order #512 has shipped.,SAFE
Your Amazon order #848 has shipped.,SAFE
Library book due on Tuesday.,SAFE
Your Amazon order #263 has shipped.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Library book due on Tuesday.,SAFE
Your SSN is flagged. Call 800-555-1212 now to verify your identity.,SCAM
Invoice paid. Receipt attached.,SAFE
Congratulations! You won a new iPhone. Claim here: http://bit.ly/secure-login,SCAM
Meeting moved to Wednesday 1:00 PM.,SAFE
Your Amazon order #542 has shipped.,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Reminder: dentist appointment on Friday at 9:00 AM.,SAFE
URGENT: Your bank account has been locked. Verify now: http://bit.ly/secure-login,SCAM
Invoice paid. Receipt attached.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Meeting moved to Friday 1:00 PM.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #996 has shipped.,SAFE
Thanks for your help today!,SAFE
Invoice paid. Receipt attached.,SAFE
Dinner at Sakura tonight?,SAFE
Congratulations! You won a new iPhone. Claim here: https://tinyurl.com/verify-now,SCAM
Library book due on Thursday.,SAFE
Reminder: dentist appointment on Wednesday at 1:00 PM.,SAFE
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Reminder: dentist appointment on Thursday at 1:00 PM.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
URGENT: Call us immediately at 800-555-1212 to avoid account suspension.,SCAM
Invoice paid. Receipt attached.,SAFE
Reminder: dentist appointment on Friday at 9:00 AM.,SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Your Amazon order #987 has shipped.,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Thursday at 3:15 PM.,SAFE
Dinner at Sakura tonight?,SAFE
Your Amazon order #697 has shipped.,SAFE
Dinner at The Diner tonight?,SAFE
Mom: Call me when you land.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Meeting moved to Wednesday 11:30 AM.,SAFE
Library book due on Friday.,SAFE
Invoice paid. Receipt attached.,SAFE
Thanks for your help today!,SAFE
Your Amazon order #154 has shipped.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Thanks for your help today!,SAFE
